Ticker,Sector,Industry,Market_Cap,PE_Ratio,y25td_Return
PFG,Financials,Life & Health Insurance,20545935360,13.52346,23.80192054836411
PG,Consumer Staples,Personal Care Products,346631045120,21.976295,-7.615252742574333
PGR,Financials,Property & Casualty Insurance,121976496128,11.414153,-6.164463353978201
PLD,Real Estate,Industrial REITs,119545184256,37.41279,27.838710555039683
PRU,Financials,Life & Health Insurance,37805711360,14.715068,-4.457307345447833
PEG,Utilities,Electric Utilities,40141963264,19.331732,-2.4514184778167603
PTC,Information Technology,Application Software,19664769024,27.121912,-10.043161671881746
PSA,Real Estate,Self-Storage REITs,48726077440,28.807055,-2.4211049050378572
PHM,Consumer Discretionary,Homebuilding,24441223168,9.558641,16.00712195123345
PWR,Industrials,Construction & Engineering,71466770432,70.89793,52.08203105821452
QCOM,Information Technology,Semiconductors,163905830912,30.607998,1.839215214021555
DGX,Health Care,Health Care Services,20602351616,21.649824,24.920884373448104
Q,Information Technology,Semiconductor Materials & Equipment,20831115264,38.103447,
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",21696620544,26.463757,56.46614489322418
RJF,Financials,Investment Banking & Brokerage,33376364544,16.425657,10.4875492607877
RTX,Industrials,Aerospace & Defense,269870579712,40.66263,76.7370370070151
O,Real Estate,Retail REITs,55931002880,56.934574,22.525453485698378
REG,Real Estate,Retail REITs,13117191168,32.701836,2.7952819962880215
REGN,Health Care,Biotechnology,81742815232,18.486338,8.436559580483863
RF,Financials,Regional Banks,24438548480,12.117392,25.023814313298566
RSG,Industrials,Environmental & Facilities Services,67810152448,32.271915,9.687829149858223
RMD,Health Care,Health Care Equipment,37294387200,26.178278,12.822290241995452
RVTY,Health Care,Health Care Equipment,13303077888,59.077316,2.680666502574405
HOOD,Financials,Investment Banking & Brokerage,94630633472,43.85,166.8357036719074
ROK,Industrials,Electrical Components & Equipment,47193829376,54.65495,51.8774818561286
ROL,Industrials,Environmental & Facilities Services,30548250624,59.33645,39.576695793500406
ROP,Information Technology,Electronic Equipment & Instruments,39747272704,25.968353,-27.53677510883492
ROST,Consumer Discretionary,Apparel Retail,60492087296,29.0625,23.239780649961986
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",79244926976,19.567675,28.510314323550862
SPGI,Financials,Financial Exchanges & Data,160792346624,38.303272,7.07653251885807
CRM,Information Technology,Application Software,217560563712,30.470667,-30.435518906033572
